#,sireName,arch,foals,runs,wins,wps,win%,wps%, fees , winnings , profit , roi ,graded_wins
1700,Lavishing Pale,RDF,7,30,2,10,6.7%,33.3%," 29,910 "," 22,086 ","-7,824 ",-0.26 ,0
1701,Raffaello,LDS,9,42,8,24,19.0%,57.1%," 45,715 "," 33,725 ","-11,990 ",-0.26 ,0
1702,Snow Jumper,RTF,5,38,5,12,13.2%,31.6%," 16,930 "," 12,482 ","-4,448 ",-0.26 ,0
1703,1st of tha Month,LDF,108,3248,392,1151,12.1%,35.4%," 5,361,952 "," 3,952,336 ","-1,409,616 ",-0.26 ,0
1704,Kanthaka,LDF,65,238,23,72,9.7%,30.3%," 385,375 "," 284,047 ","-101,328 ",-0.26 ,0
1705,Yansa,RTF,73,2422,253,835,10.4%,34.5%," 3,474,067 "," 2,559,770 ","-914,297 ",-0.26 ,0
1706,Degen Poet,LDS,10,44,4,15,9.1%,34.1%," 53,178 "," 39,180 ","-13,998 ",-0.26 ,0
1707,Stargazer,LDF,5,85,13,30,15.3%,35.3%," 127,210 "," 93,702 ","-33,508 ",-0.26 ,0
1708,One Fine Day,RTF,11,263,29,88,11.0%,33.5%," 267,405 "," 196,894 ","-70,511 ",-0.26 ,0
1709,Sky Blue Bezos,RDF,7,48,6,17,12.5%,35.4%," 76,475 "," 56,302 ","-20,173 ",-0.26 ,0
1710,Balsamic,LDS,11,57,6,23,10.5%,40.4%," 41,885 "," 30,835 ","-11,050 ",-0.26 ,0
1711,Nat Love,LDF,52,601,80,267,13.3%,44.4%," 468,080 "," 344,481 ","-123,599 ",-0.26 ,0
1712,Chesterfield,LDS,68,619,76,228,12.3%,36.8%," 1,126,095 "," 828,536 ","-297,559 ",-0.26 ,1
1713,Radagon,RDF,28,661,68,216,10.3%,32.7%," 1,095,270 "," 805,446 ","-289,824 ",-0.26 ,0
1714,Bobby Boucher,RTF,41,512,49,161,9.6%,31.4%," 649,404 "," 477,474 ","-171,930 ",-0.26 ,0
1715,Pacheco Pride,RTF,5,56,5,24,8.9%,42.9%," 77,535 "," 56,969 ","-20,566 ",-0.27 ,0
1716,Maokai,RDF,18,223,18,73,8.1%,32.7%," 260,300 "," 191,250 ","-69,050 ",-0.27 ,0
1717,Lane Pryce,RTS,41,315,39,125,12.4%,39.7%," 443,012 "," 325,482 ","-117,530 ",-0.27 ,0
1718,Time Out,LTS,13,41,5,16,12.2%,39.0%," 31,550 "," 23,173 ","-8,377 ",-0.27 ,0
1719,Odds On,LDF,12,95,9,39,9.5%,41.1%," 73,205 "," 53,725 ","-19,480 ",-0.27 ,0
1720,Breaking Minds,RTS,5,52,5,20,9.6%,38.5%," 73,110 "," 53,634 ","-19,476 ",-0.27 ,0
1721,Eggs Benny,RDF,62,1380,168,515,12.2%,37.3%," 1,824,240 "," 1,337,906 ","-486,334 ",-0.27 ,0
1722,Rigel Seven,LDS,12,80,7,28,8.8%,35.0%," 83,780 "," 61,444 ","-22,336 ",-0.27 ,0
1723,Warlords Bounty,LTS,7,51,8,20,15.7%,39.2%," 51,810 "," 37,970 ","-13,840 ",-0.27 ,0
1724,Young Ryan O,LTS,8,51,6,23,11.8%,45.1%," 52,980 "," 38,780 ","-14,200 ",-0.27 ,0
1725,Cosmic Voyage,LDF,75,960,144,396,15.0%,41.3%," 1,375,345 "," 1,006,285 ","-369,060 ",-0.27 ,0
1726,Mystic Prince,RTF,29,315,30,110,9.5%,34.9%," 391,930 "," 286,688 ","-105,242 ",-0.27 ,1
1727,Clint Beastwood,RDF,83,3503,380,1236,10.8%,35.3%," 6,922,216 "," 5,063,281 ","-1,858,935 ",-0.27 ,3
1728,Laufender Hund,RDF,5,18,2,5,11.1%,27.8%," 11,130 "," 8,140 ","-2,990 ",-0.27 ,0
1729,Mother was a Mudder,LDS,5,95,11,34,11.6%,35.8%," 100,355 "," 73,365 ","-26,990 ",-0.27 ,0
1730,Ecstatic Prince,RDF,5,55,6,22,10.9%,40.0%," 106,305 "," 77,708 ","-28,597 ",-0.27 ,0
1731,Conditional Love,LDF,17,131,18,50,13.7%,38.2%," 180,745 "," 132,084 ","-48,661 ",-0.27 ,0
1732,Juicebox,LDF,78,1395,160,517,11.5%,37.1%," 3,662,965 "," 2,676,685 ","-986,280 ",-0.27 ,27
1733,Kintsukuroi,LTS,5,24,3,7,12.5%,29.2%," 35,460 "," 25,904 ","-9,556 ",-0.27 ,0
1734,Tabula Rasa Akira,LDF,5,49,9,21,18.4%,42.9%," 26,720 "," 19,511 ","-7,209 ",-0.27 ,0
1735,Fates Favor,LDF,5,40,4,20,10.0%,50.0%," 39,750 "," 29,024 ","-10,726 ",-0.27 ,0
1736,Meadow Sabre,RTF,128,992,117,361,11.8%,36.4%," 1,137,345 "," 830,010 ","-307,335 ",-0.27 ,1
1737,Shaq,RDF,11,141,11,44,7.8%,31.2%," 152,424 "," 111,224 ","-41,200 ",-0.27 ,0
1738,MaskedMysticUnicorn,LTS,106,2094,256,819,12.2%,39.1%," 3,374,708 "," 2,461,995 ","-912,713 ",-0.27 ,0
1739,Regal Xerath,LTS,30,334,35,120,10.5%,35.9%," 487,621 "," 355,243 ","-132,378 ",-0.27 ,3
1740,Cosmic Thug,LDF,7,54,5,17,9.3%,31.5%," 79,825 "," 58,154 ","-21,671 ",-0.27 ,1
1741,Kosovo,RTF,14,544,92,248,16.9%,45.6%," 782,775 "," 570,118 ","-212,657 ",-0.27 ,0
1742,Dubs,RTS,23,136,21,68,15.4%,50.0%," 130,690 "," 95,179 ","-35,511 ",-0.27 ,0
1743,Neighing At Motorist,RTS,7,40,2,18,5.0%,45.0%," 20,795 "," 15,143 ","-5,652 ",-0.27 ,0
1744,By any Means,RTS,13,67,3,14,4.5%,20.9%," 68,145 "," 49,620 ","-18,525 ",-0.27 ,0
1745,Rip Van Winkle,LDF,10,49,5,18,10.2%,36.7%," 65,480 "," 47,667 ","-17,813 ",-0.27 ,0
1746,Ahoonora,LDF,46,266,32,90,12.0%,33.8%," 358,400 "," 260,721 ","-97,679 ",-0.27 ,1
1747,One Night Only,RTF,13,166,22,77,13.3%,46.4%," 160,313 "," 116,601 ","-43,712 ",-0.27 ,0
1748,Painkiller,LDS,54,901,111,328,12.3%,36.4%," 1,407,031 "," 1,023,277 ","-383,754 ",-0.27 ,1
1749,Cartune,LTF,7,41,4,16,9.8%,39.0%," 32,535 "," 23,660 ","-8,875 ",-0.27 ,0
1750,Soft Breeze,RTS,14,303,41,115,13.5%,38.0%," 370,895 "," 269,716 ","-101,179 ",-0.27 ,0
1751,Attackers,RTF,27,607,74,261,12.2%,43.0%," 864,789 "," 628,688 ","-236,101 ",-0.27 ,0
1752,Piercing,LDS,41,198,21,66,10.6%,33.3%," 213,215 "," 155,000 ","-58,215 ",-0.27 ,0
1753,Scuba Balls,LTS,13,96,10,39,10.4%,40.6%," 148,100 "," 107,602 ","-40,498 ",-0.27 ,2
1754,360WIN DaBOMB,RTF,40,1122,94,346,8.4%,30.8%," 1,902,620 "," 1,382,345 ","-520,275 ",-0.27 ,0
1755,Peppa's Star,RTF,15,155,28,77,18.1%,49.7%," 103,160 "," 74,947 ","-28,213 ",-0.27 ,0
1756,Original Gangster,RTF,74,2201,247,722,11.2%,32.8%," 4,145,344 "," 3,011,361 ","-1,133,983 ",-0.27 ,0
1757,White Sauce,RDF,13,159,22,57,13.8%,35.8%," 319,175 "," 231,835 ","-87,340 ",-0.27 ,0
1758,My Sweet Clanton,LDS,8,52,6,24,11.5%,46.2%," 59,165 "," 42,968 ","-16,197 ",-0.27 ,0
1759,Prolific,LTS,16,165,23,64,13.9%,38.8%," 107,620 "," 78,132 ","-29,488 ",-0.27 ,0
1760,Grumpy Sam,LDS,25,106,8,39,7.5%,36.8%," 104,375 "," 75,751 ","-28,625 ",-0.27 ,0
1761,Beavis,LDF,11,90,10,36,11.1%,40.0%," 124,025 "," 89,994 ","-34,031 ",-0.27 ,0
1762,Virgil Earp,RDF,36,427,44,151,10.3%,35.4%," 483,495 "," 350,754 ","-132,741 ",-0.27 ,0
1763,Ember's Juice Box,LDS,63,598,67,215,11.2%,36.0%," 708,135 "," 513,611 ","-194,524 ",-0.27 ,0
1764,Diablo,LDF,88,2949,406,1123,13.8%,38.1%," 5,148,429 "," 3,733,080 ","-1,415,349 ",-0.27 ,0
1765,Feats of Strength,RTS,103,1005,107,363,10.6%,36.1%," 1,789,334 "," 1,296,882 ","-492,452 ",-0.28 ,7
1766,Bellerophon,LDS,25,433,57,177,13.2%,40.9%," 359,585 "," 260,492 ","-99,093 ",-0.28 ,0
1767,Bausele,LTF,28,141,19,59,13.5%,41.8%," 212,713 "," 154,038 ","-58,675 ",-0.28 ,1
1768,Tanx for Playing,RTS,23,309,34,104,11.0%,33.7%," 363,920 "," 263,447 ","-100,473 ",-0.28 ,0
1769,Minkah,LTS,24,200,25,53,12.5%,26.5%," 147,135 "," 106,439 ","-40,696 ",-0.28 ,0
1770,Dohn-Say,RDF,5,134,13,52,9.7%,38.8%," 300,585 "," 217,422 ","-83,163 ",-0.28 ,2
1771,Apathy,LDS,33,267,34,97,12.7%,36.3%," 312,120 "," 225,673 ","-86,447 ",-0.28 ,0
1772,Spero d'Oro,RDF,5,37,4,13,10.8%,35.1%," 21,570 "," 15,594 ","-5,976 ",-0.28 ,0
1773,El Bandido,RDF,7,53,6,17,11.3%,32.1%," 94,150 "," 68,001 ","-26,149 ",-0.28 ,0
1774,Stylish Stud #9212,#N/A,7,335,57,152,17.0%,45.4%," 589,888 "," 425,915 ","-163,973 ",-0.28 ,0
1775,Midnight Magnolia,LDF,6,11,1,2,9.1%,18.2%," 15,290 "," 11,037 ","-4,253 ",-0.28 ,0
1776,Louisa Bunyan,RDF,5,39,7,15,17.9%,38.5%," 40,455 "," 29,180 ","-11,275 ",-0.28 ,0
1777,Kudo,RTF,5,148,16,51,10.8%,34.5%," 146,433 "," 105,611 ","-40,822 ",-0.28 ,0
1778,Shakespeare,LDS,90,445,47,154,10.6%,34.6%," 853,885 "," 615,501 ","-238,384 ",-0.28 ,0
1779,Bitcoin to Zero,RDF,46,346,31,123,9.0%,35.5%," 367,610 "," 264,953 ","-102,657 ",-0.28 ,0
1780,Deebo,#N/A,42,622,57,200,9.2%,32.2%," 1,442,065 "," 1,039,300 ","-402,765 ",-0.28 ,2
1781,Special Star,LTS,7,103,11,47,10.7%,45.6%," 100,706 "," 72,566 ","-28,140 ",-0.28 ,0
1782,Sabotage,LDF,35,366,34,113,9.3%,30.9%," 925,555 "," 665,966 ","-259,589 ",-0.28 ,2
1783,Rosé Jose,RTF,96,994,106,351,10.7%,35.3%," 1,258,383 "," 904,752 ","-353,631 ",-0.28 ,3
1784,Voltaire,LDF,62,1355,155,484,11.4%,35.7%," 3,191,821 "," 2,294,650 ","-897,171 ",-0.28 ,4
1785,Uzel,RDF,6,32,5,8,15.6%,25.0%," 57,430 "," 41,282 ","-16,148 ",-0.28 ,0
1786,IWR-Nebbiolo,LDS,6,65,10,28,15.4%,43.1%," 31,715 "," 22,796 ","-8,919 ",-0.28 ,0
1787,Scarlet Meadows,RTF,5,24,2,9,8.3%,37.5%," 18,250 "," 13,117 ","-5,133 ",-0.28 ,0
1788,Bold Rowan,LTF,16,64,9,23,14.1%,35.9%," 52,185 "," 37,493 ","-14,692 ",-0.28 ,0
1789,Tucano,RTS,60,723,93,261,12.9%,36.1%," 1,071,582 "," 769,505 ","-302,077 ",-0.28 ,0
1790,Mach Five,RDS,68,1674,200,674,11.9%,40.3%," 2,793,164 "," 2,005,164 ","-788,000 ",-0.28 ,1
1791,Deep Cover ,LDS,19,241,25,98,10.4%,40.7%," 257,791 "," 185,058 ","-72,733 ",-0.28 ,0
1792,Indian Sparkle,RDF,24,321,35,107,10.9%,33.3%," 377,640 "," 270,929 ","-106,711 ",-0.28 ,1
1793,Bangladesh,LDF,37,1327,164,528,12.4%,39.8%," 1,858,632 "," 1,333,192 ","-525,440 ",-0.28 ,1
1794,Houdah,RTF,19,139,18,55,12.9%,39.6%," 142,960 "," 102,534 ","-40,426 ",-0.28 ,0
1795,Stallionaire,RTF,5,37,3,13,8.1%,35.1%," 32,800 "," 23,519 ","-9,281 ",-0.28 ,0
1796,White Spirit,LDS,41,622,72,252,11.6%,40.5%," 1,042,850 "," 747,723 ","-295,127 ",-0.28 ,7
1797,Blue Invictus,RTS,17,126,13,45,10.3%,35.7%," 219,575 "," 157,425 ","-62,150 ",-0.28 ,0
1798,The Rock of Cashel,LDS,225,4972,572,1738,11.5%,35.0%," 13,554,660 "," 9,716,802 ","-3,837,858 ",-0.28 ,66
1799,Benedict Cumberbatch,LDS,6,55,7,21,12.7%,38.2%," 48,980 "," 35,108 ","-13,872 ",-0.28 ,0
1800,Centurion,LDS,175,2777,296,991,10.7%,35.7%," 4,840,806 "," 3,466,838 ","-1,373,968 ",-0.28 ,1
1801,Swift Steiner,LDF,5,60,5,24,8.3%,40.0%," 69,470 "," 49,730 ","-19,740 ",-0.28 ,0
1802,Egg Drop Soup,LTS,20,296,30,127,10.1%,42.9%," 421,005 "," 301,275 ","-119,730 ",-0.28 ,0
1803,Logos,LDS,7,118,11,47,9.3%,39.8%," 141,690 "," 101,373 ","-40,317 ",-0.28 ,0
1804,Franklin School,RTF,41,443,57,175,12.9%,39.5%," 379,570 "," 271,388 ","-108,182 ",-0.29 ,0
1805,Stylish Stud #2026,#N/A,8,273,34,116,12.5%,42.5%," 322,496 "," 230,383 ","-92,113 ",-0.29 ,0
1806,Looker,RDS,17,146,19,69,13.0%,47.3%," 170,520 "," 121,806 ","-48,714 ",-0.29 ,0
1807,Gale Boetticher,RTF,6,43,7,15,16.3%,34.9%," 26,690 "," 19,062 ","-7,628 ",-0.29 ,0
1808,Snake Eyes,LTS,18,238,19,78,8.0%,32.8%," 433,155 "," 309,304 ","-123,851 ",-0.29 ,0
1809,Coriolis,LDS,7,48,4,19,8.3%,39.6%," 53,670 "," 38,316 ","-15,354 ",-0.29 ,0
1810,Hugh Hoofner,LTS,43,243,35,99,14.4%,40.7%," 257,912 "," 184,111 ","-73,801 ",-0.29 ,0
1811,Problematic,RTS,23,162,24,47,14.8%,29.0%," 222,430 "," 158,647 ","-63,783 ",-0.29 ,3
1812,Coconut Water,RTS,10,68,8,32,11.8%,47.1%," 77,040 "," 54,946 ","-22,094 ",-0.29 ,0
1813,GloryDay,RDF,13,48,3,18,6.3%,37.5%," 44,015 "," 31,392 ","-12,623 ",-0.29 ,0
1814,Shaded Ace,LDF,14,88,13,35,14.8%,39.8%," 91,550 "," 65,280 ","-26,270 ",-0.29 ,0
1815,Heavyweight,RTS,5,113,10,40,8.8%,35.4%," 179,095 "," 127,704 ","-51,391 ",-0.29 ,0
1816,O' So Lucky,RTF,5,34,4,10,11.8%,29.4%," 45,425 "," 32,390 ","-13,035 ",-0.29 ,0
1817,Lollipop Express,RTF,23,349,32,111,9.2%,31.8%," 424,587 "," 302,652 ","-121,935 ",-0.29 ,0
1818,Unique New York,LDF,170,1725,181,550,10.5%,31.9%," 2,662,275 "," 1,897,497 ","-764,778 ",-0.29 ,3
1819,Too Much,RTF,45,614,69,214,11.2%,34.9%," 1,706,430 "," 1,216,100 ","-490,330 ",-0.29 ,17
1820,Gorilla,RTF,14,168,20,71,11.9%,42.3%," 138,465 "," 98,600 ","-39,865 ",-0.29 ,0
1821,FEDERO,RDF,13,135,12,45,8.9%,33.3%," 192,610 "," 137,071 ","-55,539 ",-0.29 ,0
1822,East Coast,RTS,18,361,45,129,12.5%,35.7%," 422,245 "," 300,400 ","-121,845 ",-0.29 ,0
1823,Danube,LDS,11,67,10,30,14.9%,44.8%," 43,130 "," 30,683 ","-12,447 ",-0.29 ,0
1824,S1 No.1 Style,RTF,11,43,5,15,11.6%,34.9%," 29,810 "," 21,202 ","-8,608 ",-0.29 ,0
1825,Iverson,LTS,6,29,6,14,20.7%,48.3%," 22,570 "," 16,050 ","-6,520 ",-0.29 ,0
1826,Definitely Not Lippy,LTS,7,52,8,25,15.4%,48.1%," 31,925 "," 22,699 ","-9,226 ",-0.29 ,0
1827,Born Performer,RTF,13,175,23,73,13.1%,41.7%," 167,355 "," 118,871 ","-48,484 ",-0.29 ,0
1828,Scoville,RTF,17,84,8,27,9.5%,32.1%," 74,760 "," 53,100 ","-21,660 ",-0.29 ,0
1829,Signal the beginning,RDS,83,1916,263,800,13.7%,41.8%," 3,149,575 "," 2,236,968 ","-912,607 ",-0.29 ,0
1830,Dark Pillars,RTS,5,92,17,49,18.5%,53.3%," 77,855 "," 55,292 ","-22,563 ",-0.29 ,0
1831,Stylish Stud #8405,#N/A,9,240,29,98,12.1%,40.8%," 409,955 "," 291,029 ","-118,925 ",-0.29 ,1
1832,Vinaigrette,LDS,102,3022,362,1070,12.0%,35.4%," 4,755,098 "," 3,374,209 ","-1,380,889 ",-0.29 ,0
1833,Snoopy Blue,RTS,6,53,7,22,13.2%,41.5%," 46,605 "," 33,060 ","-13,545 ",-0.29 ,0
1834,Two Bob,RDF,61,588,50,194,8.5%,33.0%," 715,990 "," 507,745 ","-208,245 ",-0.29 ,1
1835,Mercader,RTS,194,1723,199,641,11.5%,37.2%," 1,159,675 "," 822,381 ","-337,294 ",-0.29 ,0
1836,Well Vodka,LTS,11,77,12,39,15.6%,50.6%," 19,562 "," 13,872 ","-5,690 ",-0.29 ,0
1837,Dark and Stormy,RTS,5,43,6,17,14.0%,39.5%," 27,915 "," 19,795 ","-8,120 ",-0.29 ,0
1838,Salty Sea Dog,RDS,19,500,64,231,12.8%,46.2%," 518,325 "," 367,388 ","-150,937 ",-0.29 ,0
1839,Wilhelmina,RDS,101,2937,414,1192,14.1%,40.6%," 4,297,927 "," 3,045,202 ","-1,252,724 ",-0.29 ,0
1840,Joe Cool,LDS,11,247,41,120,16.6%,48.6%," 231,470 "," 163,990 ","-67,480 ",-0.29 ,0
1841,Leaving the City,LTS,6,38,6,18,15.8%,47.4%," 24,770 "," 17,544 ","-7,226 ",-0.29 ,0
1842,Turducken,RTF,8,95,11,32,11.6%,33.7%," 61,125 "," 43,284 ","-17,841 ",-0.29 ,1
1843,Amalek,RDF,5,33,5,15,15.2%,45.5%," 23,265 "," 16,470 ","-6,795 ",-0.29 ,0
1844,London Eye,LDS,10,84,11,29,13.1%,34.5%," 98,384 "," 69,643 ","-28,741 ",-0.29 ,0
1845,Nanook,RTS,5,40,6,14,15.0%,35.0%," 38,920 "," 27,550 ","-11,370 ",-0.29 ,0
1846,Kevin Love,RDS,14,310,45,141,14.5%,45.5%," 333,043 "," 235,719 ","-97,323 ",-0.29 ,0
1847,Fanboy,RTF,5,76,12,41,15.8%,53.9%," 58,205 "," 41,194 ","-17,011 ",-0.29 ,0
1848,Average Joe,RTF,28,200,18,71,9.0%,35.5%," 372,725 "," 263,719 ","-109,006 ",-0.29 ,1
1849,Prince,RTS,7,90,10,32,11.1%,35.6%," 115,705 "," 81,856 ","-33,849 ",-0.29 ,0
1850,Metallic Hydrogen,LDF,9,255,35,100,13.7%,39.2%," 370,465 "," 262,075 ","-108,390 ",-0.29 ,0
1851,The Next Episode,LDF,58,830,87,271,10.5%,32.7%," 1,207,657 "," 853,603 ","-354,054 ",-0.29 ,0
1852,Gebrasalong,LTS,17,111,18,44,16.2%,39.6%," 81,858 "," 57,846 ","-24,012 ",-0.29 ,0
1853,Pochero,RTS,17,207,26,80,12.6%,38.6%," 199,913 "," 141,261 ","-58,652 ",-0.29 ,0
1854,Reilly,LDS,16,117,11,44,9.4%,37.6%," 222,864 "," 157,471 ","-65,393 ",-0.29 ,0
1855,Conflux,LDS,130,2743,314,1020,11.4%,37.2%," 5,539,775 "," 3,911,433 ","-1,628,342 ",-0.29 ,1
1856,Timaru,RTF,9,122,13,46,10.7%,37.7%," 101,310 "," 71,504 ","-29,806 ",-0.29 ,0
1857,Chop Stix,RTF,16,364,35,120,9.6%,33.0%," 654,205 "," 461,633 ","-192,572 ",-0.29 ,0
1858,Susan,LDF,9,198,16,65,8.1%,32.8%," 287,450 "," 202,827 ","-84,623 ",-0.29 ,0
1859,De Pharaoh,RDF,16,219,27,80,12.3%,36.5%," 449,232 "," 316,918 ","-132,314 ",-0.29 ,1
1860,Canadian VC,RDF,6,78,13,30,16.7%,38.5%," 39,735 "," 28,032 ","-11,703 ",-0.29 ,0
1861,Godwinson,RTF,35,304,34,103,11.2%,33.9%," 354,230 "," 249,854 ","-104,376 ",-0.29 ,0
1862,Galloping,LDS,7,69,9,33,13.0%,47.8%," 66,376 "," 46,804 ","-19,572 ",-0.29 ,0
1863,Spicy Meatballs,RDF,66,675,49,185,7.3%,27.4%," 935,495 "," 659,293 ","-276,202 ",-0.30 ,0
1864,Blind Win,LDS,44,330,36,125,10.9%,37.9%," 454,700 "," 320,448 ","-134,252 ",-0.30 ,0
1865,Juice,RTS,157,2239,227,771,10.1%,34.4%," 4,491,812 "," 3,164,798 ","-1,327,014 ",-0.30 ,2
1866,The Eightfold Fence,RTF,12,99,9,30,9.1%,30.3%," 40,090 "," 28,238 ","-11,852 ",-0.30 ,0
1867,Cashel Spaniard,#N/A,39,491,67,201,13.6%,40.9%," 581,900 "," 409,715 ","-172,185 ",-0.30 ,0
1868,Proto Pig,LDS,13,56,5,20,8.9%,35.7%," 53,455 "," 37,636 ","-15,819 ",-0.30 ,0
1869,Adrenaline,RDF,8,65,7,21,10.8%,32.3%," 68,590 "," 48,281 ","-20,309 ",-0.30 ,0
1870,Wheeler Swift,LDF,56,732,76,243,10.4%,33.2%," 1,202,438 "," 846,130 ","-356,308 ",-0.30 ,3
1871,Captain Holt,RTF,6,48,6,18,12.5%,37.5%," 32,960 "," 23,181 ","-9,779 ",-0.30 ,0
1872,Castel Neptunia,RTF,22,144,18,44,12.5%,30.6%," 151,925 "," 106,833 ","-45,092 ",-0.30 ,0
1873,On Fire,RDF,24,140,10,49,7.1%,35.0%," 121,245 "," 85,253 ","-35,992 ",-0.30 ,0
1874,Samurai Breed,RDF,5,26,4,7,15.4%,26.9%," 14,850 "," 10,441 ","-4,409 ",-0.30 ,0
1875,Lollipop Run,RTF,79,1546,157,494,10.2%,32.0%," 3,001,580 "," 2,106,692 ","-894,888 ",-0.30 ,2
1876,Sigtryggr,RTS,165,5358,609,1826,11.4%,34.1%," 10,961,239 "," 7,692,984 ","-3,268,255 ",-0.30 ,14
1877,Rush,RDF,44,717,83,233,11.6%,32.5%," 1,105,606 "," 775,804 ","-329,802 ",-0.30 ,0
1878,Turn the Page,RDF,18,177,16,60,9.0%,33.9%," 153,170 "," 107,458 ","-45,712 ",-0.30 ,0
1879,Legs For Days,LDS,17,52,5,21,9.6%,40.4%," 27,115 "," 19,019 ","-8,096 ",-0.30 ,0
1880,Doc Blue,RDS,158,2195,259,903,11.8%,41.1%," 7,714,665 "," 5,411,162 ","-2,303,503 ",-0.30 ,66
1881,Big Ben,RDF,12,79,6,28,7.6%,35.4%," 171,635 "," 120,282 ","-51,353 ",-0.30 ,0
1882,Truly Grand,RTF,15,136,13,49,9.6%,36.0%," 93,115 "," 65,223 ","-27,892 ",-0.30 ,0
1883,Head To Mercury,RTF,6,120,13,41,10.8%,34.2%," 58,275 "," 40,814 ","-17,461 ",-0.30 ,0
1884,Oscar Wilde,RTF,10,187,30,76,16.0%,40.6%," 334,275 "," 234,062 ","-100,213 ",-0.30 ,0
1885,Quit foaling around,RDS,8,220,27,89,12.3%,40.5%," 382,553 "," 267,654 ","-114,899 ",-0.30 ,0
1886,Wonderstruck,RTF,35,454,44,140,9.7%,30.8%," 762,021 "," 533,010 ","-229,011 ",-0.30 ,0
1887,Bold Earth,LDF,37,837,89,267,10.6%,31.9%," 1,511,149 "," 1,056,914 ","-454,235 ",-0.30 ,0
1888,Michael Collins,LTS,25,467,55,177,11.8%,37.9%," 681,785 "," 476,837 ","-204,948 ",-0.30 ,0
1889,Night Sky,RDS,8,52,5,23,9.6%,44.2%," 44,145 "," 30,874 ","-13,271 ",-0.30 ,0
1890,Independent George,RTS,151,2712,411,1187,15.2%,43.8%," 4,688,807 "," 3,276,652 ","-1,412,155 ",-0.30 ,0
1891,El Cometa,RDF,6,26,1,11,3.8%,42.3%," 34,425 "," 24,054 ","-10,371 ",-0.30 ,0
1892,Astro Nerd,RDF,228,7902,876,2683,11.1%,34.0%," 22,707,070 "," 15,865,445 ","-6,841,625 ",-0.30 ,57
1893,Sigma Six,LDF,11,58,5,18,8.6%,31.0%," 76,700 "," 53,551 ","-23,149 ",-0.30 ,0
1894,Magician,RTF,12,49,5,18,10.2%,36.7%," 33,500 "," 23,385 ","-10,115 ",-0.30 ,0
1895,Here to Rob Ya,RTF,8,142,16,52,11.3%,36.6%," 182,073 "," 127,051 ","-55,022 ",-0.30 ,0
1896,Stanley Smith,RTF,12,64,5,23,7.8%,35.9%," 60,940 "," 42,520 ","-18,420 ",-0.30 ,0
1897,Edgar Allan Pony,LDS,165,2649,239,807,9.0%,30.5%," 6,683,923 "," 4,662,485 ","-2,021,438 ",-0.30 ,25
1898,Jericho,RTF,5,37,4,12,10.8%,32.4%," 20,050 "," 13,984 ","-6,066 ",-0.30 ,0
1899,Uncle Dave,RDF,6,54,9,25,16.7%,46.3%," 43,545 "," 30,341 ","-13,204 ",-0.30 ,0
1900,Sugar Baron,RTS,22,88,10,39,11.4%,44.3%," 188,750 "," 131,495 ","-57,255 ",-0.30 ,0
1901,Daddy Pureblood,RTF,12,31,2,9,6.5%,29.0%," 22,145 "," 15,427 ","-6,718 ",-0.30 ,0
1902,Gumdrop,RTS,101,2683,295,945,11.0%,35.2%," 6,210,507 "," 4,324,050 ","-1,886,457 ",-0.30 ,17
1903,Debutante,RTS,19,396,51,175,12.9%,44.2%," 496,458 "," 345,624 ","-150,834 ",-0.30 ,0
1904,Captain Hindsight,LDF,16,341,33,110,9.7%,32.3%," 512,347 "," 356,675 ","-155,672 ",-0.30 ,0
1905,Turning The Paige,RTF,6,55,6,20,10.9%,36.4%," 52,880 "," 36,811 ","-16,069 ",-0.30 ,0
1906,Texas Pete,RTF,6,49,5,16,10.2%,32.7%," 32,090 "," 22,325 ","-9,765 ",-0.30 ,0
1907,Falcon Smash,RTS,198,4575,557,1733,12.2%,37.9%," 7,543,142 "," 5,247,352 ","-2,295,790 ",-0.30 ,0
1908,Miss You Days,LDS,11,95,14,31,14.7%,32.6%," 72,395 "," 50,344 ","-22,051 ",-0.30 ,0
1909,Like Magic,RDF,6,103,13,36,12.6%,35.0%," 135,105 "," 93,908 ","-41,197 ",-0.30 ,0
1910,Divine Strength,RTS,14,124,17,52,13.7%,41.9%," 122,890 "," 85,414 ","-37,476 ",-0.30 ,0
1911,Lime Rickey,LDF,16,350,44,136,12.6%,38.9%," 475,595 "," 330,512 ","-145,083 ",-0.31 ,0
1912,Traverse,RDF,5,51,7,18,13.7%,35.3%," 23,805 "," 16,540 ","-7,265 ",-0.31 ,0
1913,Punki,RDF,9,63,8,24,12.7%,38.1%," 61,985 "," 43,044 ","-18,941 ",-0.31 ,0
1914,Big Bend Sovereign,LDF,8,34,4,13,11.8%,38.2%," 23,910 "," 16,586 ","-7,324 ",-0.31 ,0
1915,Visarch,RTF,10,54,5,17,9.3%,31.5%," 59,960 "," 41,589 ","-18,371 ",-0.31 ,0
1916,Anabaa,LDS,6,66,9,27,13.6%,40.9%," 42,135 "," 29,220 ","-12,915 ",-0.31 ,0
1917,Lucky Lollipop,RTF,18,347,38,137,11.0%,39.5%," 366,875 "," 254,413 ","-112,462 ",-0.31 ,0
1918,Stylish Stud #2940,#N/A,11,516,71,234,13.8%,45.3%," 1,027,689 "," 712,500 ","-315,188 ",-0.31 ,7
1919,Blushing G,RTF,7,28,3,8,10.7%,28.6%," 20,585 "," 14,264 ","-6,321 ",-0.31 ,0
